i;date;currency;open;high;low;close;volume
230;2023-11-14 10:15:00;AAPL;187.3400;187.4700;187.0750;187.4500;1893298
231;2023-11-14 10:00:00;AAPL;187.2650;187.5200;187.0000;187.3500;2433018
232;2023-11-14 09:45:00;AAPL;187.1800;187.7020;186.5400;187.2600;3318456
233;2023-11-14 09:30:00;AAPL;187.7000;187.7300;186.3000;187.1780;5578683
234;2023-11-14 09:15:00;AAPL;187.6600;187.9800;187.2000;187.6800;229758
235;2023-11-14 09:00:00;AAPL;187.7800;188.0950;187.4000;187.6450;200991
236;2023-11-14 08:45:00;AAPL;187.6300;188.1000;187.4100;187.7600;207232
237;2023-11-14 08:30:00;AAPL;185.3300;187.8000;185.0500;187.6300;352841
238;2023-11-14 08:15:00;AAPL;185.1800;185.4500;184.8000;185.3000;2607709
239;2023-11-14 08:00:00;AAPL;185.0000;185.4800;184.8000;185.1500;45285
240;2023-11-14 07:45:00;AAPL;185.1100;185.1200;185.0000;185.0900;5809
241;2023-11-14 07:30:00;AAPL;185.0400;185.1400;185.0000;185.1100;10174
242;2023-11-14 07:15:00;AAPL;185.0300;185.1200;185.0300;185.0400;3252
243;2023-11-14 07:00:00;AAPL;185.1600;185.2100;184.9800;185.0300;10879
244;2023-11-14 06:45:00;AAPL;185.2200;185.2200;185.1400;185.1500;946
245;2023-11-14 06:30:00;AAPL;185.1600;185.2400;185.1000;185.2200;547
246;2023-11-14 06:15:00;AAPL;185.0200;185.1800;185.0100;185.1600;1644
247;2023-11-14 06:00:00;AAPL;185.0700;185.1100;184.9600;185.0200;3117
248;2023-11-14 05:45:00;AAPL;185.0900;185.0900;184.9200;185.0500;2907
249;2023-11-14 05:30:00;AAPL;185.2500;185.2800;185.0600;185.1300;4092
250;2023-11-14 05:15:00;AAPL;185.1200;185.2800;185.1200;185.2700;2010
251;2023-11-14 05:00:00;AAPL;185.1100;185.2000;185.0200;185.1200;9653
252;2023-11-14 04:45:00;AAPL;185.1200;185.1600;185.0500;185.1400;1764
253;2023-11-14 04:30:00;AAPL;185.3500;185.4000;185.0500;185.0600;5507
254;2023-11-14 04:15:00;AAPL;185.4300;185.4700;185.3400;185.3900;2925
255;2023-11-14 04:00:00;AAPL;184.9900;185.4700;184.8700;185.4500;8779
256;2023-11-13 19:45:00;AAPL;184.8600;185.0200;184.8600;185.0000;3543
257;2023-11-13 19:30:00;AAPL;184.9900;185.0300;184.8500;184.9400;6177
258;2023-11-13 19:15:00;AAPL;184.8500;185.0000;184.8500;184.9900;7834
259;2023-11-13 19:00:00;AAPL;184.8500;184.9000;184.8100;184.8750;3312
260;2023-11-13 18:45:00;AAPL;184.8000;184.9500;184.7400;184.8550;9809
261;2023-11-13 18:30:00;AAPL;184.7400;184.8500;184.7300;184.8500;7780
262;2023-11-13 18:15:00;AAPL;184.7500;184.7800;184.7200;184.7550;1597
263;2023-11-13 18:00:00;AAPL;184.7500;184.8000;184.7000;184.7500;1213
264;2023-11-13 17:45:00;AAPL;184.7700;184.8000;184.7500;184.7750;1985
265;2023-11-13 17:30:00;AAPL;184.7500;196.6140;175.4790;184.7500;6011
266;2023-11-13 17:15:00;AAPL;184.7400;187.7750;179.1360;184.7900;19830
267;2023-11-13 17:00:00;AAPL;184.7200;184.7800;176.4500;184.7400;5113
268;2023-11-13 16:45:00;AAPL;184.8000;184.8200;184.7100;184.7400;1548503
269;2023-11-13 16:30:00;AAPL;184.8200;184.8300;184.6600;184.7950;34301
270;2023-11-13 16:15:00;AAPL;184.8000;184.8200;182.3800;184.8150;45123
271;2023-11-13 16:00:00;AAPL;184.7700;184.8400;182.3800;184.7700;10680496
272;2023-11-13 15:45:00;AAPL;184.9100;185.0100;184.6100;184.7700;3188824
273;2023-11-13 15:30:00;AAPL;184.9600;184.9750;184.6700;184.9200;1234122
274;2023-11-13 15:15:00;AAPL;184.9300;185.0800;184.8300;184.9500;1246032
275;2023-11-13 15:00:00;AAPL;184.9400;184.9700;184.7300;184.9400;1082783
276;2023-11-13 14:45:00;AAPL;184.9400;185.0000;184.8450;184.9500;748832
277;2023-11-13 14:30:00;AAPL;184.9900;185.0000;184.7800;184.9400;800248
278;2023-11-13 14:15:00;AAPL;184.8950;185.0100;184.8600;184.9900;688908
279;2023-11-13 14:00:00;AAPL;184.7280;184.9000;184.6000;184.8950;665688
280;2023-11-13 13:45:00;AAPL;184.8520;184.9900;184.6800;184.7230;796710
281;2023-11-13 13:30:00;AAPL;184.5700;184.8600;184.4600;184.8500;831082
282;2023-11-13 13:15:00;AAPL;184.8000;184.9300;184.5490;184.5600;693242
283;2023-11-13 13:00:00;AAPL;184.8200;184.8350;184.6000;184.8250;520162
284;2023-11-13 12:45:00;AAPL;184.7500;184.9000;184.6450;184.8200;731287
285;2023-11-13 12:30:00;AAPL;184.5700;184.7800;184.3900;184.7530;721225
286;2023-11-13 12:15:00;AAPL;184.6300;184.8500;184.5250;184.5650;821332
287;2023-11-13 12:00:00;AAPL;184.7900;184.8960;184.5000;184.6400;1990995
288;2023-11-13 11:45:00;AAPL;184.9400;185.1350;184.7300;184.7900;1092676
289;2023-11-13 11:30:00;AAPL;184.9600;185.0700;184.7700;184.9500;1174280
290;2023-11-13 11:15:00;AAPL;185.1200;185.1250;184.7700;184.9600;1374583
291;2023-11-13 11:00:00;AAPL;184.6400;185.1400;184.6400;185.1300;1348726
292;2023-11-13 10:45:00;AAPL;184.5300;184.9700;184.4300;184.6450;1435808
293;2023-11-13 10:30:00;AAPL;184.7700;184.8250;184.3900;184.5390;1589598
294;2023-11-13 10:15:00;AAPL;184.8000;184.8400;184.4250;184.7660;1595890
295;2023-11-13 10:00:00;AAPL;184.6000;184.8600;184.2100;184.8050;2253318
296;2023-11-13 09:45:00;AAPL;184.6350;184.8000;184.2700;184.6000;2708684
297;2023-11-13 09:30:00;AAPL;185.8200;186.0300;184.5300;184.6300;4029974
298;2023-11-13 09:15:00;AAPL;185.6700;186.4000;185.5200;185.7700;51226
299;2023-11-13 09:00:00;AAPL;185.6900;188.1000;184.2950;185.6100;35543
300;2023-11-13 08:45:00;AAPL;185.6500;185.8100;185.6200;185.6900;33922
301;2023-11-13 08:30:00;AAPL;186.0400;186.1600;185.6090;185.6600;58564
302;2023-11-13 08:15:00;AAPL;186.0300;186.1400;185.9500;186.0400;31330
303;2023-11-13 08:00:00;AAPL;185.7500;186.4000;185.0300;186.0750;64296
304;2023-11-13 07:45:00;AAPL;186.2800;186.3900;186.0500;186.1200;16925
305;2023-11-13 07:30:00;AAPL;186.1300;186.4000;186.1000;186.2900;27479
306;2023-11-13 07:15:00;AAPL;186.1400;186.2600;186.0500;186.1300;26747
307;2023-11-13 07:00:00;AAPL;185.7100;186.2000;185.7000;186.1500;85946
308;2023-11-13 06:45:00;AAPL;185.5600;185.7500;185.5300;185.7000;5818
309;2023-11-13 06:30:00;AAPL;185.5800;185.6300;185.4600;185.5200;7767
310;2023-11-13 06:15:00;AAPL;185.6500;185.6500;185.5300;185.5800;3193
311;2023-11-13 06:00:00;AAPL;185.7400;185.7700;185.5600;185.6000;7893
312;2023-11-13 05:45:00;AAPL;185.6500;185.7500;185.5900;185.7400;7742
313;2023-11-13 05:30:00;AAPL;185.6200;185.7000;185.5500;185.6500;4434
314;2023-11-13 05:15:00;AAPL;185.5200;185.6500;185.4800;185.6500;2623
315;2023-11-13 05:00:00;AAPL;185.6400;185.6600;185.4700;185.5300;2391
316;2023-11-13 04:45:00;AAPL;185.5300;185.6600;185.5100;185.6600;2453
317;2023-11-13 04:30:00;AAPL;185.5300;185.5400;185.4900;185.5100;1582
318;2023-11-13 04:15:00;AAPL;185.5200;185.7000;185.4800;185.5300;8784
319;2023-11-13 04:00:00;AAPL;184.6600;186.1700;184.6600;185.5100;12775
